subnum,block,trial,dim1,dim2,nDim,n,isi,d1,d2,d3,d4,dotext,doaudio,dospatial,timestart,resp1,corr1,time2,rta,resp2,corr2,time3,rtb
1-lg-t2,p4,9,consonants-av,squares,2,1,3000,0,0,6,8,1,1,1,169727,<timeout>,1,172477,2748,<timeout>,1,172479,2750
1-lg-t2,p4,10,consonants-av,squares,2,1,3000,0,1,8,8,1,1,1,172735,<rshift>,1,173473,736,<timeout>,1,175485,2748
1-lg-t2,p4,11,consonants-av,squares,2,1,3000,0,1,3,8,1,1,1,175740,<rshift>,1,176458,716,<timeout>,1,178490,2748
1-lg-t2,t1,1,consonants-av,squares,2,1,3000,0,0,7,2,1,1,1,189149,<timeout>,1,191900,2749,<timeout>,1,191902,2751
1-lg-t2,t1,2,consonants-av,squares,2,1,3000,0,0,1,5,1,1,1,192158,<timeout>,1,194908,2748,<timeout>,1,194910,2750
1-lg-t2,t1,3,consonants-av,squares,2,1,3000,0,1,3,5,1,1,1,195166,<rshift>,1,195775,607,<timeout>,1,197916,2748
1-lg-t2,t1,4,consonants-av,squares,2,1,3000,1,0,3,2,1,1,1,198172,<lshift>,1,198627,453,<timeout>,1,200922,2748
1-lg-t2,t1,5,consonants-av,squares,2,1,3000,1,0,3,6,1,1,1,201175,<lshift>,1,201779,602,<timeout>,1,203925,2748
1-lg-t2,t1,6,consonants-av,squares,2,1,3000,0,0,4,2,1,1,1,204180,<timeout>,1,206930,2748,<timeout>,1,206932,2750
1-lg-t2,t1,7,consonants-av,squares,2,1,3000,1,0,4,7,1,1,1,207190,<lshift>,1,207788,596,<timeout>,1,209940,2748
1-lg-t2,t1,8,consonants-av,squares,2,1,3000,0,0,8,8,1,1,1,210195,<timeout>,1,212945,2748,<timeout>,1,212947,2750
1-lg-t2,t1,9,consonants-av,squares,2,1,3000,1,1,8,8,1,1,1,213203,<lshift>,1,213893,687,<rshift>,1,213895,689
1-lg-t2,t1,10,consonants-av,squares,2,1,3000,0,0,7,6,1,1,1,216207,<timeout>,1,218957,2748,<timeout>,1,218959,2750
1-lg-t2,t1,11,consonants-av,squares,2,1,3000,0,0,4,4,1,1,1,219215,<timeout>,1,221965,2749,<timeout>,1,221966,2750
1-lg-t2,t1,12,consonants-av,squares,2,1,3000,1,1,4,4,1,1,1,222222,<lshift>,1,222945,721,<rshift>,1,222948,724
1-lg-t2,t1,13,consonants-av,squares,2,1,3000,0,1,7,4,1,1,1,225226,<rshift>,1,226133,905,<timeout>,1,227976,2748
1-lg-t2,t1,14,consonants-av,squares,2,1,3000,0,0,6,5,1,1,1,228232,<timeout>,1,230982,2748,<timeout>,1,230983,2749
1-lg-t2,t1,15,consonants-av,squares,2,1,3000,0,1,4,5,1,1,1,231239,<rshift>,1,232007,766,<timeout>,1,233989,2748
1-lg-t2,t1,16,consonants-av,squares,2,1,3000,0,0,8,7,1,1,1,234245,<timeout>,1,236995,2747,<timeout>,1,236997,2749
1-lg-t2,t1,17,consonants-av,squares,2,1,3000,0,0,4,2,1,1,1,237254,<timeout>,1,240004,2747,<timeout>,1,240006,2749
1-lg-t2,t1,18,consonants-av,squares,2,1,3000,0,1,7,2,1,1,1,240262,<rshift>,1,240897,633,<timeout>,1,243012,2748
1-lg-t2,t1,19,consonants-av,squares,2,1,3000,0,1,6,2,1,1,1,243267,<rshift>,1,244113,844,<timeout>,1,246017,2748
1-lg-t2,t1,20,consonants-av,squares,2,1,3000,1,0,6,4,1,1,1,246273,<lshift>,1,247045,770,<timeout>,1,249023,2748
1-lg-t2,t1,21,consonants-av,squares,2,1,3000,0,0,4,7,1,1,1,249279,<timeout>,1,252029,2727,<timeout>,1,252031,2729
1-lg-t2,t1,22,consonants-av,squares,2,1,3000,1,0,4,3,1,1,1,252312,<lshift>,1,253002,688,<timeout>,1,255063,2749
1-lg-t2,t1,23,consonants-av,squares,2,1,3000,0,0,3,2,1,1,1,255319,<timeout>,1,258069,2748,<timeout>,1,258071,2750
1-lg-t2,t1,24,consonants-av,squares,2,1,3000,1,1,3,2,1,1,1,258327,<lshift>,1,259187,858,<rshift>,1,260364,2035
1-lg-t2,t1,25,consonants-av,squares,2,1,3000,0,0,8,8,1,1,1,261331,<timeout>,1,264081,2747,<timeout>,1,264083,2749
1-lg-t2,t1,26,consonants-av,squares,2,1,3000,1,0,8,6,1,1,1,264338,<lshift>,1,265069,729,<timeout>,1,267089,2749
1-lg-t2,t1,27,consonants-av,squares,2,1,3000,0,0,4,1,1,1,1,267344,<timeout>,1,270094,2748,<timeout>,1,270096,2750
1-lg-t2,t1,28,consonants-av,squares,2,1,3000,0,1,3,1,1,1,1,270352,<rshift>,1,271434,1080,<timeout>,1,273102,2748
1-lg-t2,t1,29,consonants-av,squares,2,1,3000,0,0,8,8,1,1,1,273358,<timeout>,1,276108,2748,<timeout>,1,276109,2749
1-lg-t2,t1,30,consonants-av,squares,2,1,3000,0,0,7,3,1,1,1,276365,<timeout>,1,279115,2747,<timeout>,1,279116,2748
1-lg-t2,t1,31,consonants-av,squares,2,1,3000,0,0,2,8,1,1,1,279372,<timeout>,1,282122,2748,<timeout>,1,282123,2749
1-lg-t2,t2,1,consonants-av,squares,2,2,3000,0,0,1,6,1,1,1,290289,<timeout>,1,293039,2748,<timeout>,1,293041,2750
1-lg-t2,t2,2,consonants-av,squares,2,2,3000,0,0,2,8,1,1,1,293297,<timeout>,1,296047,2748,<timeout>,1,296048,2749
1-lg-t2,t2,3,consonants-av,squares,2,2,3000,1,1,1,6,1,1,1,296305,<rshift>,1,297308,1001,<lshift>,1,297310,1003
1-lg-t2,t2,4,consonants-av,squares,2,2,3000,0,0,3,7,1,1,1,299309,<timeout>,1,302059,2747,<timeout>,1,302060,2748
1-lg-t2,t2,5,consonants-av,squares,2,2,3000,0,1,3,6,1,1,1,302315,<rshift>,1,304490,2172,<timeout>,1,305065,2747
1-lg-t2,t2,6,consonants-av,squares,2,2,3000,0,0,5,6,1,1,1,305321,<timeout>,1,308071,2747,<timeout>,1,308073,2749
1-lg-t2,t2,7,consonants-av,squares,2,2,3000,0,0,1,8,1,1,1,308329,<timeout>,1,311079,2748,<timeout>,1,311081,2750
1-lg-t2,t2,8,consonants-av,squares,2,2,3000,1,0,5,8,1,1,1,311337,<lshift>,1,312782,1443,<rshift>,0,313033,1694
1-lg-t2,t2,9,consonants-av,squares,2,2,3000,0,1,6,8,1,1,1,314341,<timeout>,1,317091,2748,<timeout>,0,317093,2750
1-lg-t2,t2,10,consonants-av,squares,2,2,3000,0,0,3,3,1,1,1,317349,<timeout>,1,320099,2748,<timeout>,1,320101,2750
1-lg-t2,t2,11,consonants-av,squares,2,2,3000,0,0,8,2,1,1,1,320357,<timeout>,1,323107,2748,<timeout>,1,323108,2749
1-lg-t2,t2,12,consonants-av,squares,2,2,3000,1,0,3,8,1,1,1,323364,<lshift>,1,324761,1394,<timeout>,1,326114,2747
1-lg-t2,t2,13,consonants-av,squares,2,2,3000,0,0,4,3,1,1,1,326371,<timeout>,1,329121,2747,<timeout>,1,329123,2749
1-lg-t2,t2,14,consonants-av,squares,2,2,3000,1,0,3,2,1,1,1,329379,<lshift>,1,330368,986,<timeout>,1,332129,2747
1-lg-t2,t2,15,consonants-av,squares,2,2,3000,0,0,5,5,1,1,1,332384,<timeout>,1,335134,2748,<timeout>,1,335135,2749
1-lg-t2,t2,16,consonants-av,squares,2,2,3000,0,0,5,3,1,1,1,335391,<timeout>,1,338141,2747,<timeout>,1,338142,2748
1-lg-t2,t2,17,consonants-av,squares,2,2,3000,0,1,4,5,1,1,1,338397,<timeout>,1,341147,2747,<timeout>,0,341149,2749
1-lg-t2,t2,18,consonants-av,squares,2,2,3000,0,1,4,3,1,1,1,341405,<rshift>,1,343193,1785,<timeout>,1,344155,2747
1-lg-t2,t2,19,consonants-av,squares,2,2,3000,0,0,2,8,1,1,1,344411,<timeout>,1,347161,2748,<timeout>,1,347163,2750
1-lg-t2,t2,20,consonants-av,squares,2,2,3000,1,0,4,2,1,1,1,347419,<lshift>,1,348741,1320,<timeout>,1,350169,2748
1-lg-t2,t2,21,consonants-av,squares,2,2,3000,0,1,8,8,1,1,1,350425,<rshift>,1,351136,709,<timeout>,1,353175,2748
1-lg-t2,t2,22,consonants-av,squares,2,2,3000,1,0,4,6,1,1,1,353431,<lshift>,1,354454,1021,<timeout>,1,356181,2748
1-lg-t2,t2,23,consonants-av,squares,2,2,3000,0,0,4,2,1,1,1,356438,<timeout>,1,359188,2747,<timeout>,1,359190,2749
1-lg-t2,t2,24,consonants-av,squares,2,2,3000,0,0,2,1,1,1,1,359446,<timeout>,1,362196,2748,<timeout>,1,362197,2749
1-lg-t2,t2,25,consonants-av,squares,2,2,3000,1,1,4,2,1,1,1,362453,<rshift>,1,363402,946,<lshift>,1,363404,948
1-lg-t2,t2,26,consonants-av,squares,2,2,3000,0,0,7,6,1,1,1,365457,<timeout>,1,368207,2748,<timeout>,1,368209,2750
1-lg-t2,t2,27,consonants-av,squares,2,2,3000,0,0,5,1,1,1,1,368465,<timeout>,1,371216,2749,<timeout>,1,371217,2750
1-lg-t2,t2,28,consonants-av,squares,2,2,3000,0,0,1,3,1,1,1,371474,<timeout>,1,374224,2748,<timeout>,1,374226,2750
1-lg-t2,t2,29,consonants-av,squares,2,2,3000,0,1,2,1,1,1,1,374482,<rshift>,1,376424,1940,<timeout>,1,377232,2748
1-lg-t2,t2,30,consonants-av,squares,2,2,3000,0,0,8,1,1,1,1,377487,<timeout>,1,380237,2747,<timeout>,1,380239,2749
1-lg-t2,t2,31,consonants-av,squares,2,2,3000,1,1,2,1,1,1,1,380494,<lshift>,1,381468,971,<rshift>,1,381772,1275
1-lg-t2,t2,32,consonants-av,squares,2,2,3000,1,0,8,3,1,1,1,383498,<lshift>,1,384484,984,<rshift>,0,384800,1300
1-lg-t2,p1,1,consonants-av,none,1,1,3000,0,0,5,5,1,1,0,21319,<timeout>,1,24069,2749,<timeout>,1,24071,2751
1-lg-t2,p1,2,consonants-av,none,1,1,3000,1,0,5,1,1,1,0,24327,<lshift>,1,24747,418,<timeout>,1,27077,2748
1-lg-t2,p1,3,consonants-av,none,1,1,3000,1,1,5,1,1,1,0,27332,<lshift>,1,27793,460,<timeout>,0,30082,2749
1-lg-t2,p1,4,consonants-av,none,1,1,3000,0,1,1,1,1,1,0,30338,<timeout>,1,33088,2748,<timeout>,0,33090,2750
1-lg-t2,p1,5,consonants-av,none,1,1,3000,0,0,2,8,1,1,0,33345,<timeout>,1,36095,2748,<timeout>,1,36096,2749
1-lg-t2,p1,6,consonants-av,none,1,1,3000,0,0,5,2,1,1,0,36351,<timeout>,1,39101,2748,<timeout>,1,39103,2750
1-lg-t2,p1,7,consonants-av,none,1,1,3000,0,1,7,2,1,1,0,39359,<timeout>,1,42109,2748,<timeout>,0,42111,2750
1-lg-t2,p1,8,consonants-av,none,1,1,3000,0,0,4,1,1,1,0,42366,<timeout>,1,45116,2748,<timeout>,1,45118,2750
1-lg-t2,p1,9,consonants-av,none,1,1,3000,1,0,4,4,1,1,0,45374,<lshift>,1,45742,366,<timeout>,1,48124,2748
1-lg-t2,p1,10,consonants-av,none,1,1,3000,1,1,4,4,1,1,0,48380,<lshift>,1,48797,415,<timeout>,0,51130,2748
1-lg-t2,p1,11,consonants-av,none,1,1,3000,0,0,3,5,1,1,0,51386,<timeout>,1,54136,2748,<timeout>,1,54138,2750
1-lg-t2,p2,1,consonants-av,none,1,2,3000,0,0,5,4,1,1,0,64486,<timeout>,1,67236,2748,<timeout>,1,67238,2750
1-lg-t2,p2,2,consonants-av,none,1,2,3000,0,0,6,6,1,1,0,67493,<timeout>,1,70243,2748,<timeout>,1,70245,2750
1-lg-t2,p2,3,consonants-av,none,1,2,3000,0,0,3,6,1,1,0,70500,<timeout>,1,73250,2748,<timeout>,1,73252,2750
1-lg-t2,p2,4,consonants-av,none,1,2,3000,1,0,6,1,1,1,0,73507,<lshift>,1,74042,533,<timeout>,1,76257,2748
1-lg-t2,p2,5,consonants-av,none,1,2,3000,0,0,2,5,1,1,0,76512,<timeout>,1,79262,2748,<timeout>,1,79263,2749
1-lg-t2,p2,6,consonants-av,none,1,2,3000,0,0,8,2,1,1,0,79519,<timeout>,1,82269,2748,<timeout>,1,82271,2750
1-lg-t2,p2,7,consonants-av,none,1,2,3000,0,1,7,5,1,1,0,82527,<timeout>,1,85277,2748,<timeout>,0,85279,2750
1-lg-t2,p2,8,consonants-av,none,1,2,3000,1,1,8,2,1,1,0,85535,<lshift>,1,85966,429,<timeout>,0,88285,2748
1-lg-t2,p2,9,consonants-av,none,1,2,3000,0,0,5,1,1,1,0,88541,<timeout>,1,91291,2748,<timeout>,1,91293,2750
1-lg-t2,p2,10,consonants-av,none,1,2,3000,0,1,4,2,1,1,0,91548,<timeout>,1,94298,2749,<timeout>,0,94300,2751
